variavel,coeficiente,impacto_absoluto
cat__estado_vendedor_MA,1.61242496253224,1.61242496253224
num__quantidade_vendedores,-1.5692721938841236,1.5692721938841236
cat__customer_state_RR,1.5507931007011597,1.5507931007011597
cat__customer_state_AL,1.1375913580042387,1.1375913580042387
cat__categoria_principal_home_comfort_2,0.9062980381182231,0.9062980381182231
cat__estado_vendedor_AM,0.9012974291122339,0.9012974291122339
num__prazo_prometido_dias,-0.8945192393083871,0.8945192393083871
cat__customer_state_RO,-0.8453398560100851,0.8453398560100851
cat__customer_state_PR,-0.8307174367637494,0.8307174367637494
cat__customer_state_MG,-0.7727030605701413,0.7727030605701413
cat__categoria_principal_computers,-0.7282492836586113,0.7282492836586113
cat__customer_state_SP,-0.7278377999736035,0.7278377999736035
cat__estado_vendedor_PE,-0.7093444991287534,0.7093444991287534
cat__customer_state_PA,0.7002188537742948,0.7002188537742948
cat__customer_state_DF,-0.6948799078517748,0.6948799078517748
cat__estado_vendedor_GO,-0.6782520398440335,0.6782520398440335
cat__categoria_principal_audio,0.6457013079496094,0.6457013079496094
cat__categoria_principal_christmas_supplies,0.639617575154851,0.639617575154851
cat__estado_vendedor_RN,0.595267376221173,0.595267376221173
cat__categoria_principal_dvds_blu_ray,0.5888166540575235,0.5888166540575235
cat__estado_vendedor_MT,-0.5729813452488318,0.5729813452488318
cat__categoria_principal_luggage_accessories,-0.5674456237236328,0.5674456237236328
cat__estado_vendedor_RS,-0.5474077726658504,0.5474077726658504
cat__categoria_principal_air_conditioning,-0.54022635376333,0.54022635376333
cat__categoria_principal_flowers,-0.5299481425375009,0.5299481425375009
cat__categoria_principal_construction_tools_safety,-0.5165107584352682,0.5165107584352682
cat__categoria_principal_market_place,-0.5125956298544733,0.5125956298544733
cat__customer_state_SE,0.5082145855120974,0.5082145855120974
cat__categoria_principal_furniture_mattress_and_upholstery,0.49775398118122305,0.49775398118122305
cat__estado_vendedor_SP,0.4916557684725062,0.4916557684725062
cat__categoria_principal_office_furniture,0.48962606600845276,0.48962606600845276
cat__estado_vendedor_MS,-0.4812010397868625,0.4812010397868625
cat__categoria_principal_la_cuisine,-0.45238283169042975,0.45238283169042975
num__mesmo_estado,-0.4370618715435712,0.4370618715435712
cat__estado_vendedor_CE,0.4329116283721176,0.4329116283721176
num__log_valor_pagamento,0.4285447669644331,0.4285447669644331
cat__categoria_principal_agro_industry_and_commerce,-0.42634919804568616,0.42634919804568616
cat__customer_state_MA,0.40762930330252745,0.40762930330252745
cat__estado_vendedor_RJ,0.4063490378658592,0.4063490378658592
cat__categoria_principal_fashion_underwear_beach,0.40264249147404785,0.40264249147404785
cat__customer_state_GO,-0.3902879377376086,0.3902879377376086
cat__categoria_principal_cds_dvds_musicals,-0.39012942155063757,0.39012942155063757
cat__estado_vendedor_RO,-0.3847456147130318,0.3847456147130318
cat__estado_vendedor_PI,-0.3781808460435766,0.3781808460435766
cat__categoria_principal_diapers_and_hygiene,-0.3760213948366306,0.3760213948366306
num__log_distancia,0.35503747154074483,0.35503747154074483
cat__categoria_principal_construction_tools_construction,0.35080244458553794,0.35080244458553794
cat__customer_state_CE,0.3476685773886652,0.3476685773886652
cat__categoria_principal_books_imported,-0.3413599342954268,0.3413599342954268
cat__customer_state_RJ,0.33981975749237875,0.33981975749237875
num__log_preco,-0.33007013574814253,0.33007013574814253
cat__estado_vendedor_PA,0.31968758006391157,0.31968758006391157
cat__customer_state_BA,0.31458828782427395,0.31458828782427395
cat__categoria_principal_home_confort,0.3098257705730265,0.3098257705730265
cat__categoria_principal_desconhecida,0.3081054792143921,0.3081054792143921
cat__categoria_principal_electronics,0.30547936878942666,0.30547936878942666
cat__customer_state_MT,-0.303957668148655,0.303957668148655
cat__customer_state_MS,-0.30246479256909115,0.30246479256909115
cat__categoria_principal_baby,0.29420609236539985,0.29420609236539985
cat__categoria_principal_computers_accessories,0.2921899713470416,0.2921899713470416
cat__categoria_principal_bed_bath_table,0.28674945901355453,0.28674945901355453
cat__estado_vendedor_SE,-0.286217232016202,0.286217232016202
num__quantidade_itens,-0.28373346845583863,0.28373346845583863
cat__categoria_principal_art,-0.2809917977497746,0.2809917977497746
cat__estado_vendedor_BA,-0.27630397701313947,0.27630397701313947
cat__categoria_principal_furniture_decor,0.2727237470233174,0.2727237470233174
cat__customer_state_AC,-0.27118215158540093,0.27118215158540093
cat__categoria_principal_fashion_sport,-0.2696986576901894,0.2696986576901894
cat__categoria_principal_consoles_games,0.2682749931971955,0.2682749931971955
cat__customer_state_RS,-0.26624239270596683,0.26624239270596683
cat__categoria_principal_fixed_telephony,-0.2651764426350353,0.2651764426350353
cat__categoria_principal_signaling_and_security,-0.2619479414920893,0.2619479414920893
cat__categoria_principal_kitchen_dining_laundry_garden_furniture,-0.25401550792142863,0.25401550792142863
cat__estado_vendedor_PB,-0.23855882517568447,0.23855882517568447
cat__customer_state_AP,0.2180540758057719,0.2180540758057719
cat__categoria_principal_furniture_bedroom,-0.21402286896546463,0.21402286896546463
cat__customer_state_PB,0.2134247330817003,0.2134247330817003
cat__categoria_principal_cool_stuff,-0.21276060270126762,0.21276060270126762
num__mes_compra,-0.20667520261817438,0.20667520261817438
cat__categoria_principal_watches_gifts,0.19856195771698787,0.19856195771698787
cat__categoria_principal_tablets_printing_image,-0.19446862366855758,0.19446862366855758
cat__categoria_principal_perfumery,0.1905200039492175,0.1905200039492175
cat__customer_state_TO,-0.18574182573513265,0.18574182573513265
cat__categoria_principal_musical_instruments,0.1852045547021373,0.1852045547021373
cat__categoria_principal_books_technical,0.1842140748660837,0.1842140748660837
cat__categoria_principal_home_construction,0.17959085594026955,0.17959085594026955
cat__categoria_principal_telephony,0.1781633751853475,0.1781633751853475
cat__categoria_principal_arts_and_craftmanship,-0.17812139335638935,0.17812139335638935
cat__categoria_principal_party_supplies,-0.17508876449549696,0.17508876449549696
cat__categoria_principal_home_appliances_2,-0.17058176165897168,0.17058176165897168
num__log_frete,0.16980783739401537,0.16980783739401537
cat__categoria_principal_food,0.16530533381199403,0.16530533381199403
cat__categoria_principal_fashion_childrens_clothes,-0.16416145517955014,0.16416145517955014
cat__categoria_principal_costruction_tools_tools,-0.1633435477579049,0.1633435477579049
cat__categoria_principal_auto,0.16220743826314937,0.16220743826314937
cat__estado_vendedor_DF,-0.15489613543193284,0.15489613543193284
cat__categoria_principal_books_general_interest,-0.15322200727207858,0.15322200727207858
cat__estado_vendedor_ES,-0.14842004638209416,0.14842004638209416
cat__tipo_pagamento_debit_card,0.14224313626237306,0.14224313626237306
cat__categoria_principal_fashion_shoes,0.14103758026683555,0.14103758026683555
cat__categoria_principal_small_appliances,-0.14074976680707219,0.14074976680707219
cat__categoria_principal_food_drink,-0.13839447208541267,0.13839447208541267
cat__categoria_principal_costruction_tools_garden,-0.1353567250828731,0.1353567250828731
cat__customer_state_ES,-0.13528859971808063,0.13528859971808063
cat__categoria_principal_industry_commerce_and_business,-0.13501708671849877,0.13501708671849877
cat__categoria_principal_health_beauty,0.13012854941266946,0.13012854941266946
cat__categoria_principal_fashion_bags_accessories,0.1288541666236485,0.1288541666236485
cat__customer_state_RN,0.1256950608577655,0.1256950608577655
cat__estado_vendedor_PR,0.11804042396419583,0.11804042396419583
cat__categoria_principal_stationery,0.11310704680911822,0.11310704680911822
cat__categoria_principal_cine_photo,0.10534868176125357,0.10534868176125357
num__quantidade_categorias,-0.10502931274048014,0.10502931274048014
cat__tipo_pagamento_credit_card,-0.10113578265503627,0.10113578265503627
cat__categoria_principal_pet_shop,-0.10066569964259661,0.10066569964259661
cat__categoria_principal_construction_tools_lights,0.10049243870924979,0.10049243870924979
cat__tipo_pagamento_voucher,-0.0968476639461615,0.0968476639461615
cat__categoria_principal_sports_leisure,0.08619488839917262,0.08619488839917262
cat__customer_state_SC,-0.08325224603459107,0.08325224603459107
cat__tipo_pagamento_boleto,0.0772944730235247,0.0772944730235247
cat__categoria_principal_security_and_services,-0.07682306052195254,0.07682306052195254
cat__customer_state_AM,-0.07372615845868892,0.07372615845868892
cat__categoria_principal_fashio_female_clothing,-0.06850992414965928,0.06850992414965928
cat__categoria_principal_garden_tools,0.06692041229964571,0.06692041229964571
